t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask
1777399362.7380385399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1
1777399362.7481482029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1169.6069335938,13.5475368500,0.0706357807,inf,inf,inf,inf,inf,inf,0.0000216961,0.0000104904,inf,0.0000076294,inf,inf,inf,inf,inf,inf,2819
1777399362.7581024170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,inf,inf,inf,inf,0.0000169277,0.0000121593,0.0099759102,0.0099647045,inf,0.0099618435,inf,inf,0.0000092983,inf,0.0000061989,inf,84931
1777399362.7681143284,0.0282778777,0.0299169365,0.0979614630,3.1388241492,0.0304441001,-0.0000421456,nan,nan,nan,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,0.0000188351,inf,inf,inf,0.0100288391,0.0100240707,0.0199878216,0.0199766159,inf,0.0199737549,0.0000064373,inf,0.0100212097,inf,0.0100181103,inf,89031
1777399362.7780706882,0.0282778777,0.0299169365,0.0979614630,3.1388241492,0.0304441001,-0.0000421456,nan,3.9272727966,3.9273254871,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,0.0099751949,inf,0.0000114441,inf,0.0199851990,0.0199804306,0.0299441814,0.0299329758,inf,0.0299301147,0.0099627972,0.0000066757,0.0199775696,inf,0.0199744701,inf,97239
1777399362.7880754471,0.0282778777,0.0299169365,0.0979614630,3.1388241492,0.0304441001,-0.0000421456,nan,3.9272727966,3.9273254871,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,0.0199799538,inf,0.0100162029,inf,0.0299899578,0.0299851894,0.0399489403,0.0399377346,inf,0.0399348736,0.0199675560,0.0100114346,0.0299823284,0.0000078678,0.0299792290,inf,130007
1777399362.7981019020,0.0282778777,0.0299169365,0.0979614630,3.1388241492,0.0304441001,-0.0000421456,nan,3.9272727966,3.9273254871,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0183567703,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,0.0300064087,inf,0.0200426579,inf,0.0400164127,0.0400116444,0.0499753952,0.0499641895,0.0000095367,0.0499613285,0.0299940109,0.0200378895,0.0400087833,0.0100343227,0.0400056839,inf,131031
1777399362.8080856800,0.0282778777,0.0299169365,0.0979614630,3.1388241492,0.0304441001,-0.0000421456,nan,3.9272727966,3.9273254871,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0183567703,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,0.0399901867,inf,0.0300264359,inf,0.0500001907,0.0499954224,0.0599591732,0.0599479675,0.0099933147,0.0599451065,0.0399777889,0.0300216675,0.0499925613,0.0200181007,0.0000073910,inf,131031
1777399362.8180778027,0.0278086234,0.0298767705,0.0979430079,3.1388243162,0.0276762704,-0.0000383111,nan,3.9272727966,3.9273254871,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0183567703,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,0.0000290871,inf,0.0400185585,inf,0.0599923134,0.0599875450,0.0699512959,0.0699400902,0.0199854374,0.0699372292,0.0000100136,0.0400137901,0.0000052452,0.0300102234,0.0099995136,inf,131031
1777399362.8280770779,0.0278086234,0.0298767705,0.0979430079,3.1388243162,0.0276762704,-0.0000383111,nan,3.9272727966,3.9273223877,nan,nan,nan,nan,-0.0082992679,0.0008087399,0.0009363800,-0.0612956472,-0.0062579154,-1.9973864555,0.0020161050,0.3355918229,-0.0072114579,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0183567703,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1169.6069335938,13.5475368500,0.0706357807,0.0100283623,inf,0.0000114441,inf,0.0699915886,0.0699868202,0.0799505711,0.0000076294,0.0299847126,0.0799365044,0.0100092888,0.0000047684,0.0100045204,0.0400094986,0.0199987888,inf,131031
