t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask
1777404483.9453148842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1
1777404483.9553935528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,inf,inf,inf,inf,inf,0.0000302792,inf,inf,inf,inf,inf,inf,0.0000143051,inf,0.0000069141,inf,82051
1777404483.9653458595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,inf,inf,inf,inf,0.0000255108,0.0099825859,inf,inf,inf,inf,0.0000154972,0.0000081062,0.0099666119,inf,0.0099592209,inf,94403
1777404483.9754061699,0.0424331948,0.0318918005,0.0961014181,3.0402136688,0.9311975371,0.0017400262,nan,3.7372434139,3.7343993187,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0000293255,inf,0.0000090599,inf,0.0100858212,0.0200428963,inf,inf,inf,inf,0.0100758076,0.0100684166,0.0200269222,inf,0.0200195312,inf,94423
1777404483.9853341579,0.0424331948,0.0318918005,0.0961014181,3.0402136688,0.9311975371,0.0017400262,nan,3.7372434139,3.7343993187,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0099573135,inf,0.0099370480,inf,0.0200138092,0.0299708843,inf,inf,inf,inf,0.0200037956,0.0199964046,0.0299549103,0.0000112057,0.0299475193,inf,127191
1777404483.9953992367,0.0424331948,0.0318918005,0.0961014181,3.0402136688,0.9311975371,0.0017400262,nan,3.7372434139,3.7343993187,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0801094994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0200223923,inf,0.0200021267,inf,0.0300788879,0.0400359631,inf,inf,0.0000083447,inf,0.0300688744,0.0300614834,0.0400199890,0.0100762844,0.0400125980,inf,128215
1777404484.0053026676,0.0424331948,0.0318918005,0.0961014181,3.0402136688,0.9311975371,0.0017400262,nan,3.7372434139,3.7343993187,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0801094994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0299258232,inf,0.0299055576,inf,0.0399823189,0.0499393940,inf,inf,0.0099117756,inf,0.0399723053,0.0399649143,0.0000166893,0.0199797153,0.0000064373,inf,128215
1777404484.0153062344,0.0424331948,0.0318918005,0.0961014181,3.0402136688,0.9311975371,0.0017400262,nan,3.7372434139,3.7343993187,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0801094994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0399293900,inf,0.0399091244,inf,0.0499858856,0.0599429607,inf,0.0000162125,0.0199153423,inf,0.0000064373,0.0499684811,0.0100202560,0.0299832821,0.0100100040,inf,128727
1777404484.0253872871,0.0427357778,0.0319163240,0.0975518003,3.0499858052,0.8723913354,0.0000615498,nan,3.7372434139,3.7343096733,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0801094994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0000398159,inf,0.0000200272,inf,0.0600669384,0.0700240135,inf,0.0100972652,0.0299963951,inf,0.0100874901,0.0000088215,0.0201013088,0.0400643349,0.0200910568,inf,128727
1777404484.0352814198,0.0427357778,0.0319163240,0.0975518003,3.0499858052,0.8723913354,0.0000615498,nan,3.7372434139,3.7343096733,nan,nan,nan,nan,0.0053139883,0.0036119190,0.0105021447,-0.8299770951,-0.1109629348,-1.5440731049,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0801094994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,0.0099339485,inf,0.0099141598,inf,0.0699610710,0.0799181461,inf,0.0199913979,0.0398905277,inf,0.0199816227,0.0099029541,0.0299954414,0.0000164509,0.0299851894,0.0000073910,259799
