t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask
1777408342.0190165043,nan,nan,nan,nan,nan,nan,nan,4.1489734650,4.1492781639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,0.0000398159,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17
1777408342.0289525986,nan,nan,nan,nan,nan,nan,nan,4.1489734650,4.1492781639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,inf,inf,0.0099759102,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0000181198,inf,inf,32787
1777408342.0389618874,nan,nan,nan,nan,nan,nan,nan,4.1489734650,4.1492781639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,inf,inf,0.0199851990,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0100274086,inf,inf,32787
1777408342.0488934517,nan,nan,nan,nan,nan,nan,nan,4.1489734650,4.1492781639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0122920154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,inf,inf,0.0299167633,inf,inf,inf,inf,inf,0.0000143051,inf,inf,inf,inf,0.0199589729,0.0000064373,inf,99347
1777408342.0589261055,0.0405635983,0.0330489501,0.0992319733,0.1232027385,0.9193803957,-0.0008093694,nan,4.1489734650,4.1492781639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0122920154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000250340,inf,0.0399494171,inf,inf,inf,inf,inf,0.0100469589,inf,0.0000121593,inf,0.0000073910,0.0299916267,0.0100390911,inf,119831
1777408342.0688905716,0.0405635983,0.0330489501,0.0992319733,0.1232027385,0.9193803957,-0.0008093694,nan,4.1489734650,4.1492609978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0122920154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,0.0099895000,inf,0.0000143051,inf,inf,inf,inf,0.0000100136,0.0200114250,inf,0.0099766254,0.0000066757,0.0099718571,0.0399560928,0.0200035572,inf,128535
1777408342.0788693428,0.0405635983,0.0330489501,0.0992319733,0.1232027385,0.9193803957,-0.0008093694,nan,4.1489734650,4.1492609978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0122920154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0199682713,inf,0.0099930763,inf,inf,inf,inf,0.0099887848,0.0299901962,inf,0.0199553967,0.0099854469,0.0199506283,0.0000102520,0.0299823284,0.0000057220,259607
1777408342.0888686180,0.0405635983,0.0330489501,0.0992319733,0.1232027385,0.9193803957,-0.0008093694,nan,4.1489734650,4.1492609978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0994279161,-0.1769099683,0.0540432781,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0122920154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-50.1311111450,416.8103637695,0.0000000000,0.0299675465,inf,0.0199923515,inf,inf,inf,0.0000097752,0.0199880600,0.0399894714,0.0000052452,0.0299546719,0.0199847221,0.0299499035,0.0100095272,0.0399816036,0.0100049973,261911
1777408342.0988540649,0.0405635983,0.0330489501,0.0992319733,0.1232027385,0.9193803957,-0.0008093694,nan,4.1489734650,4.1492609978,nan,nan,nan,nan,-0.0039837449,0.0006966197,0.0036843086,0.7960613966,-0.1346579641,-0.4099314213,-0.0994279161,-0.1769099683,0.0540432781,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0122920154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-50.1311111450,416.8103637695,0.0000000000,0.0399529934,inf,0.0299777985,inf,0.0000104904,0.0000076294,0.0099952221,0.0299735069,0.0499749184,0.0099906921,0.0399401188,0.0299701691,0.0399353504,0.0199949741,0.0000050068,0.0199904442,262103
1777408342.1088867188,0.0403132625,0.0330749191,0.0991677344,0.1415178064,0.9823282209,0.0003076258,nan,4.1489734650,4.1492609978,nan,nan,nan,nan,-0.0039837449,0.0006966197,0.0036843086,0.7960613966,-0.1346579641,-0.4099314213,-0.0994279161,-0.1769099683,0.0540432781,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0122920154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-50.1311111450,416.8103637695,0.0000000000,0.0000219345,inf,0.0400104523,inf,0.0100431442,0.0100402832,0.0200278759,0.0400061607,0.0600075722,0.0200233459,0.0000097752,0.0400028229,0.0000059605,0.0300276279,0.0100376606,0.0300230980,262103
