t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask
1777407288.4596977234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1
1777407288.4698600769,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001888275,inf,0.0000362396,inf,inf,inf,inf,inf,inf,inf,inf,0.0000162125,inf,inf,inf,inf,8215
1777407288.4796476364,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,0.0099763870,inf,0.0098237991,inf,inf,inf,inf,inf,inf,inf,inf,0.0098037720,inf,0.0000212193,inf,inf,40983
1777407288.4897222519,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0119983088,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,0.0200510025,inf,0.0198984146,inf,inf,inf,inf,inf,0.0000214577,inf,inf,0.0198783875,inf,0.0100958347,inf,inf,42007
1777407288.4997096062,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0300383568,inf,0.0298857689,inf,inf,inf,inf,0.0000398159,0.0100088120,inf,inf,0.0298657417,inf,0.0200831890,0.0000171661,inf,108055
1777407288.5096704960,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0399992466,inf,0.0398466587,inf,inf,inf,inf,0.0100007057,0.0199697018,inf,0.0000472069,0.0398266315,0.0000264645,0.0300440788,0.0099780560,inf,128535
1777407288.5197148323,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000782013,inf,0.0000329018,inf,inf,inf,inf,0.0200450420,0.0300140381,inf,0.0100915432,0.0000145435,0.0100708008,0.0400884151,0.0200223923,inf,128535
1777407288.5296380520,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0100014210,inf,0.0099561214,inf,inf,inf,inf,0.0299682617,0.0399372578,inf,0.0200147629,0.0099377632,0.0199940205,0.0000324249,0.0299456120,0.0000145435,259607
1777407288.5395996571,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1687999368,-0.0295184106,0.0800828487,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0199630260,inf,0.0199177265,inf,inf,inf,0.0000157356,0.0399298668,0.0498988628,inf,0.0299763680,0.0198993683,0.0299556255,0.0099940300,0.0399072170,0.0099761486,259863
1777407288.5495667458,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,-0.0371120423,0.0846412629,-0.0046190023,0.1687999368,-0.0295184106,0.0800828487,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,34.5796623230,-17.0276126862,0.0000000000,0.0299301147,inf,0.0298848152,inf,inf,0.0000302792,0.0099828243,0.0498969555,0.0598659515,0.0000183582,0.0399434566,0.0298664570,0.0399227142,0.0199611187,0.0000092983,0.0199432373,262039
