t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask,offline_mob1_fx,offline_mob1_fy,offline_mob1_fz,offline_mob1_tx,offline_mob1_ty,offline_mob1_tz,offline_mob2_fx,offline_mob2_fy,offline_mob2_fz,offline_mob2_tx,offline_mob2_ty,offline_mob2_tz,offline_mobc_fx,offline_mobc_fy,offline_mobc_fz,offline_mobc_tx,offline_mobc_ty,offline_mobc_tz,offline_tauhat_x,offline_tauhat_y,offline_tauhat_z,offline_rxf_x,offline_rxf_y,offline_rxf_z,offline_etau_x,offline_etau_y,offline_etau_z,offline_rho_tau,offline_normal_qx,offline_normal_qy,offline_normal_qz,offline_normal_qw,offline_normal_nx,offline_normal_ny,offline_normal_nz,offline_contact_force_x
1777401285.2643344402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777401285.2743690014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,inf,inf,inf,inf,0.0000271797,0.0000171661,inf,0.0000119209,inf,inf,inf,inf,inf,inf,0.0000066757,inf,66243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777401285.2843153477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,inf,inf,inf,inf,0.0099735260,0.0099635124,inf,0.0099582672,inf,inf,0.0000104904,inf,0.0000050068,inf,0.0099530220,inf,86723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777401285.2943446636,0.0370538421,0.0346556753,0.0994591862,2.7194019043,1.2267465198,-0.0040213965,nan,3.8692083359,3.8690478802,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0000181198,inf,0.0000102520,inf,0.0200028419,0.0199928284,inf,0.0199875832,inf,inf,0.0100398064,0.0000047684,0.0100343227,inf,0.0199823380,inf,94935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777401285.3042812347,0.0370538421,0.0346556753,0.0994591862,2.7194019043,1.2267465198,-0.0040213965,nan,3.8692083359,3.8690478802,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0099546909,inf,0.0099468231,inf,0.0299394131,0.0299293995,inf,0.0299241543,inf,inf,0.0199763775,0.0099413395,0.0199708939,0.0000040531,0.0299189091,inf,127703,0.0000173388,-0.0000232476,0.0020785926,0.0000000000,-0.0000000000,0.0000000000,0.0000119850,-0.0000160693,0.0008226457,0.0000000000,-0.0000000000,0.0000000000,0.0000118485,-0.0000150121,0.0008224838,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0000066849,-0.0000006325,0.0000001404,0.0000066849,0.0000006325,-0.0000001404,0.1793811598,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777401285.3142843246,0.0370538421,0.0346556753,0.0994591862,2.7194019043,1.2267465198,-0.0040213965,nan,3.8692083359,3.8690478802,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0690414831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0199577808,inf,0.0199499130,inf,0.0399425030,0.0399324894,inf,0.0399272442,0.0000033379,inf,0.0299794674,0.0199444294,0.0299739838,0.0100071430,0.0399219990,inf,128727,0.0000172695,-0.0000231547,0.0038970419,0.0000000000,-0.0000000000,0.0000000000,0.0000191002,-0.0000256094,0.0023761364,0.0000000000,-0.0000000000,0.0000000000,0.0000187880,-0.0000192348,0.0023751570,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0000265686,-0.0000006082,0.0000002646,0.0000265686,0.0000006082,-0.0000002646,0.1629855346,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777401285.3242778778,0.0370538421,0.0346556753,0.0994591862,2.7194019043,1.2267465198,-0.0040213965,nan,3.8692083359,3.8690478802,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0690414831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0299513340,inf,0.0299434662,inf,0.0499360561,0.0499260426,inf,0.0499207973,0.0099968910,inf,0.0399730206,0.0299379826,0.0399675369,0.0200006962,0.0000038147,inf,128727,0.0000171661,-0.0000230161,0.0066111003,0.0000000000,-0.0000000000,0.0000000000,0.0000285760,-0.0000383143,0.0060369895,0.0000000000,-0.0000000000,0.0000000000,0.0000282597,-0.0000093817,0.0060325373,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0000777869,0.0000005018,0.0000004234,0.0000777869,-0.0000005018,-0.0000004234,0.1550962295,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777401285.3343195915,0.0370538421,0.0346556753,0.0994591862,2.7194019043,1.2267465198,-0.0040213965,nan,3.8692083359,3.8690478802,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0690414831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0399930477,inf,0.0399851799,inf,0.0599777699,0.0599677563,inf,0.0599625111,0.0200386047,inf,0.0000119209,0.0399796963,0.0000061989,0.0300424099,0.0100455284,inf,128727,0.0000170975,-0.0000229241,0.0084114378,0.0000000000,-0.0000000000,0.0000000000,0.0000341570,-0.0000457974,0.0092699423,0.0000000000,-0.0000000000,0.0000000000,0.0000342045,0.0000116682,0.0092610950,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0001241563,0.0000018611,0.0000005125,0.0001241563,-0.0000018611,-0.0000005125,0.1520517144,-0.7056239018,0.0055701701,0.7085425876,0.0055932101,-0.0041272504,0.0000651648,-0.9999914807,0.0075730141
1777401285.3443100452,0.0364905372,0.0348028317,0.0992888585,2.8013261410,1.1594919226,0.0032614135,nan,3.8692083359,3.8690571785,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0690414831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0000188351,inf,0.0000104904,inf,0.0699682236,0.0699582100,inf,0.0699529648,0.0300290585,inf,0.0100023746,0.0000052452,0.0099966526,0.0400328636,0.0200359821,inf,128727,0.0000169951,-0.0000227868,0.0110984639,0.0000000000,-0.0000000000,0.0000000000,0.0000415231,-0.0000556737,0.0151591344,0.0000000000,-0.0000000000,0.0000000000,0.0000429462,0.0000702099,0.0151397452,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0002089028,0.0000046801,0.0000006240,0.0002089028,-0.0000046801,-0.0000006240,0.1485434342,-0.6944335141,-0.1256334795,0.6971865994,-0.1261315540,-0.0037058511,-0.0013862612,-0.9999921724,0.0130515695
1777401285.3542768955,0.0364905372,0.0348028317,0.0992888585,2.8013261410,1.1594919226,0.0032614135,nan,3.8692083359,3.8690571785,nan,nan,nan,nan,0.0007471383,-0.0010017551,0.0108518247,-0.8595487475,-0.4452874959,-1.2465392351,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0690414831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,nan,nan,nan,0.0099856853,inf,0.0099773407,inf,0.0799350739,0.0799250603,inf,0.0799198151,0.0399959087,inf,0.0199692249,0.0099720955,0.0199635029,0.0000045300,0.0300028324,inf,128727,0.0000169272,-0.0000226958,0.0128808699,0.0000000000,0.0000000000,0.0000000000,0.0000458166,-0.0000614305,0.0196989546,0.0000000000,0.0000000000,0.0000000000,0.0000234322,0.0001172252,0.0196717691,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0002214800,-0.0000983867,0.0000009549,0.0002214800,0.0000983867,-0.0000009549,0.1296296734,-0.6732839131,-0.1895650799,0.6879238341,-0.1936869930,-0.0183482421,-0.0112215601,-0.9997686825,0.0173465833
