t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask,offline_mob1_fx,offline_mob1_fy,offline_mob1_fz,offline_mob1_tx,offline_mob1_ty,offline_mob1_tz,offline_mob2_fx,offline_mob2_fy,offline_mob2_fz,offline_mob2_tx,offline_mob2_ty,offline_mob2_tz,offline_mobc_fx,offline_mobc_fy,offline_mobc_fz,offline_mobc_tx,offline_mobc_ty,offline_mobc_tz,offline_mobc2_fx,offline_mobc2_fy,offline_mobc2_fz,offline_mobc2_tx,offline_mobc2_ty,offline_mobc2_tz,offline_tauhat_x,offline_tauhat_y,offline_tauhat_z,offline_rxf_x,offline_rxf_y,offline_rxf_z,offline_etau_x,offline_etau_y,offline_etau_z,offline_rho_tau,offline_normal_pure_nx,offline_normal_pure_ny,offline_normal_pure_nz,offline_normal_k1_nx,offline_normal_k1_ny,offline_normal_k1_nz,offline_normal_k1_novcorr_nx,offline_normal_k1_novcorr_ny,offline_normal_k1_novcorr_nz,offline_normal_k2_nx,offline_normal_k2_ny,offline_normal_k2_nz,offline_normal_k2_nolpf_nx,offline_normal_k2_nolpf_ny,offline_normal_k2_nolpf_nz,offline_normal_k2_novcorr_nx,offline_normal_k2_novcorr_ny,offline_normal_k2_novcorr_nz,offline_contact_force_x
1777402833.6855802536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777402833.6955754757,nan,nan,nan,nan,nan,nan,nan,3.8692083359,3.8694114685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,inf,inf,0.0000243187,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0000112057,inf,inf,32787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777402833.7055418491,nan,nan,nan,nan,nan,nan,nan,3.8692083359,3.8694114685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,inf,inf,0.0099906921,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0099775791,inf,inf,32787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777402833.7155191898,nan,nan,nan,nan,nan,nan,nan,3.8692083359,3.8694114685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0043279566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,inf,inf,0.0199680328,inf,inf,inf,inf,inf,0.0000190735,inf,inf,inf,inf,0.0199549198,0.0000104904,inf,99347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777402833.7255387306,nan,nan,nan,nan,nan,nan,nan,3.8692083359,3.8694114685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043279566,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,inf,inf,0.0299875736,inf,inf,inf,inf,0.0000205040,0.0100386143,inf,inf,inf,0.0000114441,0.0299744606,0.0100300312,inf,116243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777402833.7355830669,0.0431093313,0.0355823711,0.0991634354,0.0978753677,0.7132317932,0.0010092824,nan,3.8692083359,3.8694114685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043279566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000388622,inf,0.0400319099,inf,inf,inf,inf,0.0100648403,0.0200829506,inf,0.0000193119,0.0000116825,0.0100557804,0.0400187969,0.0200743675,inf,128535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777402833.7455103397,0.0431093313,0.0355823711,0.0991634354,0.0978753677,0.7132317932,0.0010092824,nan,3.8692083359,3.8693990707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043279566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,0.0099661350,inf,0.0000183582,inf,inf,inf,inf,0.0199921131,0.0300102234,inf,0.0099465847,0.0099389553,0.0199830532,0.0000100136,0.0300016403,inf,128535,0.0000000000,0.0000000000,0.0008750520,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002100125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002100125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002100125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777402833.7555663586,0.0431093313,0.0355823711,0.0991634354,0.0978753677,0.7132317932,0.0010092824,nan,3.8692083359,3.8693990707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0306212734,-0.1794103086,0.2762226760,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043279566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,0.0200221539,inf,0.0100743771,inf,inf,inf,0.0000140667,0.0300481319,0.0400662422,inf,0.0200026035,0.0199949741,0.0300390720,0.0100660324,0.0400576591,inf,128791,0.0000000000,0.0000000000,0.0034897214,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020086411,0.0000000000,0.0000000000,0.0000000000,-0.0000014731,0.0000000551,0.0020043947,0.0000000000,0.0000000000,0.0000000000,-0.0000145762,0.0000005457,0.0019666253,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000046483,-0.0001241704,0.0000000000,0.0000046483,0.0001241704,-0.0000000000,0.9374041716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777402833.7655167580,0.0431093313,0.0355823711,0.0991634354,0.0978753677,0.7132317932,0.0010092824,nan,3.8692083359,3.8693990707,nan,nan,nan,nan,nan,nan,nan,0.6658945084,-0.1019347459,-0.2625877261,0.0306212734,-0.1794103086,0.2762226760,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043279566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,-38.4124412537,324.4562072754,0.0000000000,0.0299725533,inf,0.0200247765,inf,inf,0.0000207424,0.0099644661,0.0399985313,0.0500166416,0.0000138283,0.0299530029,0.0299453735,0.0399894714,0.0200164318,0.0000090599,inf,130967,0.0000000000,0.0000000000,0.0060887341,0.0000030381,-0.0000025617,0.0000029529,0.0000000000,0.0000000000,0.0053806525,0.0000007137,-0.0000006016,0.0000006934,-0.0000079504,0.0000003365,0.0053577315,0.0000007137,-0.0000006016,0.0000006934,-0.0000774231,0.0000032818,0.0051574405,0.0000007137,-0.0000006016,0.0000006934,0.0000007137,-0.0000006016,0.0000006934,-0.0000155250,-0.0004147433,0.0000000020,0.0000162387,0.0004141417,0.0000006914,0.9408398484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777402833.7754817009,0.0431093313,0.0355823711,0.0991634354,0.0978753677,0.7132317932,0.0010092824,nan,3.8692083359,3.8693990707,nan,nan,nan,nan,-0.0056661735,0.0041467510,0.0014407343,0.6658945084,-0.1019347459,-0.2625877261,0.0306212734,-0.1794103086,0.2762226760,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043279566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,-38.4124412537,324.4562072754,0.0000000000,0.0399374962,inf,0.0299897194,inf,0.0000135899,0.0099856853,0.0199294090,0.0499634743,0.0599815845,0.0099787712,0.0399179459,0.0399103165,0.0000076294,0.0299813747,0.0099740028,inf,131031,0.0000000000,0.0000000000,0.0078127574,0.0000030247,-0.0000025518,0.0000029422,0.0000000000,0.0000000000,0.0083972684,0.0000011592,-0.0000009774,0.0000011267,-0.0000166301,0.0000007179,0.0083493221,0.0000011592,-0.0000009774,0.0000011267,-0.0001602394,0.0000069259,0.0079352811,0.0000011592,-0.0000009774,0.0000011267,0.0000011592,-0.0000009774,0.0000011267,-0.0000257996,-0.0006892548,0.0000000065,0.0000269588,0.0006882774,0.0000011201,0.9415547138,0.0000000000,0.0000000000,-1.0000000000,0.0014839057,-0.0000628095,-0.9999988970,0.0014839057,-0.0000628095,-0.9999988970,0.0175883718,-0.0007552962,-0.9998450273,0.0150102221,-0.0006362573,-0.9998871378,0.0175883718,-0.0007552962,-0.9998450273,0.0053577372
