t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask,offline_mob1_fx,offline_mob1_fy,offline_mob1_fz,offline_mob1_tx,offline_mob1_ty,offline_mob1_tz,offline_mob2_fx,offline_mob2_fy,offline_mob2_fz,offline_mob2_tx,offline_mob2_ty,offline_mob2_tz,offline_mobc_fx,offline_mobc_fy,offline_mobc_fz,offline_mobc_tx,offline_mobc_ty,offline_mobc_tz,offline_tauhat_x,offline_tauhat_y,offline_tauhat_z,offline_rxf_x,offline_rxf_y,offline_rxf_z,offline_etau_x,offline_etau_y,offline_etau_z,offline_rho_tau,offline_normal_qx,offline_normal_qy,offline_normal_qz,offline_normal_qw,offline_normal_nx,offline_normal_ny,offline_normal_nz,offline_contact_force_x
1777403823.0102198124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0202524662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0303227901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0046329373,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,0.0000188351,inf,inf,inf,inf,inf,0.0000078678,inf,66563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0401759148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0046329373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,0.0098719597,inf,0.0000164509,inf,0.0000066757,inf,0.0098609924,inf,87043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0502166748,0.0404628813,0.0351144336,0.1011220887,0.0339597685,0.4579433335,-0.0006109686,nan,4.0222873688,4.0272436142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0046329373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000278950,inf,0.0000147820,inf,inf,inf,inf,inf,0.0199127197,inf,0.0100572109,0.0000066757,0.0100474358,inf,0.0199017525,inf,95255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0601527691,0.0404628813,0.0351144336,0.1011220887,0.0339597685,0.4579433335,-0.0006109686,nan,4.0222873688,4.0272436142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0046329373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,nan,nan,nan,nan,0.0099639893,inf,0.0099508762,inf,inf,inf,inf,inf,0.0298488140,inf,0.0199933052,0.0099427700,0.0199835300,0.0000064373,0.0298378468,inf,128023,0.0000000000,0.0000000000,0.0018267554,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006485700,0.0000000000,0.0000000000,0.0000000000,-0.0000002361,0.0000000031,0.0006455339,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000003124,-0.0000235601,0.0000000000,0.0000003124,0.0000235601,0.0000000000,0.9565152112,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0701637268,0.0404628813,0.0351144336,0.1011220887,0.0339597685,0.4579433335,-0.0006109686,nan,4.0222873688,4.0272436142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0947896540,0.1020882130,0.0725917220,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0046329373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0199749470,inf,0.0199618340,inf,inf,inf,0.0000143051,inf,0.0398597717,inf,0.0300042629,0.0199537277,0.0299944878,0.0100173950,0.0398488045,0.0000059605,259351,0.0000000000,0.0000000000,0.0036462111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020987147,0.0000000000,0.0000000000,0.0000000000,-0.0000022926,0.0000000304,0.0020692391,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000018024,-0.0001359283,0.0000000000,0.0000018024,0.0001359283,-0.0000000000,0.9896731843,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0801756382,0.0404628813,0.0351144336,0.1011220887,0.0339597685,0.4579433335,-0.0006109686,nan,4.0222873688,4.0272436142,nan,nan,nan,nan,nan,nan,nan,0.4312241971,-0.0327580273,-0.0972044468,-0.0947896540,0.1020882130,0.0725917220,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0046329373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-13.7869892120,313.0083618164,-0.1723218709,0.0299868584,inf,0.0299737453,inf,inf,0.0000214577,0.0100262165,inf,0.0498716831,0.0000133514,0.0400161743,0.0299656391,0.0400063992,0.0200293064,0.0000059605,0.0100178719,261527,0.0000000000,0.0000000000,0.0063617715,-0.0000004793,0.0000011800,0.0000015883,0.0000000000,0.0000000000,0.0056219374,-0.0000000759,0.0000001868,0.0000002514,-0.0000122805,0.0000002102,0.0054640393,-0.0000000759,0.0000001868,0.0000002514,-0.0000000759,0.0000001868,0.0000002514,-0.0000059486,-0.0004486156,0.0000000017,0.0000058727,0.0004488024,0.0000002497,0.9950440508,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.0901854038,0.0404628813,0.0351144336,0.1011220887,0.0339597685,0.4579433335,-0.0006109686,nan,4.0222873688,4.0272436142,nan,nan,nan,nan,-0.0019446253,0.0020001985,0.0019415322,0.4312241971,-0.0327580273,-0.0972044468,-0.0947896540,0.1020882130,0.0725917220,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0046329373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-13.7869892120,313.0083618164,-0.1723218709,0.0399966240,inf,0.0399835110,inf,0.0000293255,0.0100312233,0.0200359821,0.0000209808,0.0598814487,0.0100231171,0.0000133514,0.0399754047,0.0000057220,0.0300390720,0.0100157261,0.0200276375,262103,0.0000000000,0.0000000000,0.0081631053,-0.0000004771,0.0000011755,0.0000015819,0.0000000000,0.0000000000,0.0087738276,-0.0000001479,0.0000003641,0.0000004901,-0.0000255435,0.0000004925,0.0084453904,-0.0000001479,0.0000003641,0.0000004901,-0.0000001479,0.0000003641,0.0000004901,-0.0000098059,-0.0007395599,0.0000000100,0.0000096580,0.0007399241,0.0000004800,0.9959266181,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777403823.1001896858,0.0403483249,0.0352055654,0.1011699215,0.0373000501,0.4921079842,0.0008067827,nan,4.0275659561,4.0271396637,nan,nan,nan,nan,-0.0019446253,0.0020001985,0.0019415322,0.4312241971,-0.0327580273,-0.0972044468,-0.0947896540,0.1020882130,0.0725917220,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0046329373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-13.7869892120,313.0083618164,-0.1723218709,0.0000269413,inf,0.0000143051,inf,0.0100336075,0.0200355053,0.0300402641,0.0100252628,0.0698857307,0.0200273991,0.0100176334,0.0000061989,0.0100100040,0.0400433540,0.0200200081,0.0300319195,262103,-0.0000452191,0.0000465114,0.0108967656,-0.0000004739,0.0000011689,0.0000015723,-0.0000212670,0.0000218747,0.0145772643,-0.0000002489,0.0000006133,0.0000008253,-0.0000794829,0.0000229062,0.0138287426,-0.0000002489,0.0000006133,0.0000008253,-0.0000002489,0.0000006133,0.0000008253,-0.0000168754,-0.0012797962,0.0000012192,0.0000166265,0.0012804094,-0.0000003939,0.9963086038,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
