t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask,offline_mob1_fx,offline_mob1_fy,offline_mob1_fz,offline_mob1_tx,offline_mob1_ty,offline_mob1_tz,offline_mob2_fx,offline_mob2_fy,offline_mob2_fz,offline_mob2_tx,offline_mob2_ty,offline_mob2_tz,offline_mobc_fx,offline_mobc_fy,offline_mobc_fz,offline_mobc_tx,offline_mobc_ty,offline_mobc_tz,offline_mobc2_fx,offline_mobc2_fy,offline_mobc2_fz,offline_mobc2_tx,offline_mobc2_ty,offline_mobc2_tz,offline_tauhat_x,offline_tauhat_y,offline_tauhat_z,offline_rxf_x,offline_rxf_y,offline_rxf_z,offline_etau_x,offline_etau_y,offline_etau_z,offline_rho_tau,offline_normal_qx,offline_normal_qy,offline_normal_qz,offline_normal_qw,offline_normal_nx,offline_normal_ny,offline_normal_nz,offline_contact_force_x
1777409351.9158101082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777409351.9259371758,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1162.7042236328,28.9177494049,-0.5443727970,inf,inf,inf,inf,inf,0.0000264645,0.0000135899,inf,inf,0.0000088215,inf,inf,inf,inf,inf,inf,2435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777409351.9358778000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,inf,inf,inf,inf,0.0000290871,0.0099670887,0.0099542141,0.0000207424,inf,0.0099494457,inf,inf,inf,inf,0.0000126362,inf,68547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777409351.9460597038,0.0326732732,0.0312222596,0.0991223902,3.1194976217,0.1218703897,0.0014247681,nan,nan,nan,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,0.0000550747,inf,inf,inf,0.0102109909,0.0201489925,0.0201361179,0.0102026463,inf,0.0201313496,0.0000295639,0.0000205040,0.0000138283,inf,0.0101945400,inf,97223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,nan
1777409351.9559042454,0.0326732732,0.0312222596,0.0991223902,3.1194976217,0.1218703897,0.0014247681,nan,3.7900292873,3.7936205864,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,0.0098996162,inf,0.0000169277,inf,0.0200555325,0.0299935341,0.0299806595,0.0200471878,inf,0.0299758911,0.0098741055,0.0098650455,0.0098583698,inf,0.0200390816,inf,97239,-0.0001969195,-0.0000353368,0.0018463066,-0.0000001984,-0.0000021329,-0.0000039114,-0.0001361154,-0.0000244256,0.0006620842,-0.0000000468,-0.0000005010,-0.0000009186,-0.0001362579,-0.0000243994,0.0006618243,-0.0000000468,-0.0000005010,-0.0000009186,-0.0001375465,-0.0000241626,0.0006594750,-0.0000000468,-0.0000005010,-0.0000009186,-0.0000000468,-0.0000005010,-0.0000009186,-0.0000010347,-0.0000167777,-0.0000016413,0.0000009879,0.0000162767,0.0000007226,0.5905281495,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777409351.9659140110,0.0326732732,0.0312222596,0.0991223902,3.1194976217,0.1218703897,0.0014247681,nan,3.7900292873,3.7936205864,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,0.0199093819,inf,0.0100266933,inf,0.0300652981,0.0400032997,0.0399904251,0.0300569534,inf,0.0399856567,0.0198838711,0.0198748112,0.0198681355,0.0000159740,0.0300488472,inf,130007,-0.0001961326,-0.0000351956,0.0036656841,-0.0000001962,-0.0000021242,-0.0000038960,-0.0002169249,-0.0000389267,0.0021202520,-0.0000000757,-0.0000008138,-0.0000014924,-0.0002187972,-0.0000388030,0.0021168417,-0.0000000757,-0.0000008138,-0.0000014924,-0.0002354755,-0.0000377080,0.0020864617,-0.0000000757,-0.0000008138,-0.0000014924,-0.0000000757,-0.0000008138,-0.0000014924,-0.0000026176,-0.0001129453,-0.0000031335,0.0000025419,0.0001121315,0.0000016411,0.7912714738,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777409351.9758958817,0.0326732732,0.0312222596,0.0991223902,3.1194976217,0.1218703897,0.0014247681,nan,3.7900292873,3.7936205864,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0714735091,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,0.0298912525,inf,0.0200085640,inf,0.0400471687,0.0499851704,0.0499722958,0.0400388241,0.0000147820,0.0499675274,0.0298657417,0.0298566818,0.0298500061,0.0099978447,0.0400307178,inf,131031,-0.0001949582,-0.0000349849,0.0063811279,-0.0000001929,-0.0000021112,-0.0000038729,-0.0003245426,-0.0000582385,0.0056541596,-0.0000001159,-0.0000012529,-0.0000022979,-0.0003352841,-0.0000578330,0.0056345980,-0.0000001159,-0.0000012529,-0.0000022979,-0.0004292454,-0.0000543274,0.0054634834,-0.0000001159,-0.0000012529,-0.0000022979,-0.0000001159,-0.0000012529,-0.0000022979,-0.0000059053,-0.0003900904,-0.0000051142,0.0000057894,0.0003888375,0.0000028163,0.8367025877,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777409351.9859230518,0.0326732732,0.0312222596,0.0991223902,3.1194976217,0.1218703897,0.0014247681,nan,3.7900292873,3.7936205864,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0714735091,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,0.0399184227,inf,0.0300357342,inf,0.0500743389,0.0600123405,0.0599994659,0.0500659943,0.0100419521,0.0599946976,0.0398929119,0.0398838520,0.0000240803,0.0200250149,0.0000131130,inf,131031,-0.0001941791,-0.0000348451,0.0081823843,-0.0000001908,-0.0000021026,-0.0000038576,-0.0003879280,-0.0000696129,0.0088123430,-0.0000001406,-0.0000015265,-0.0000027998,-0.0004107226,-0.0000689218,0.0087708338,-0.0000001406,-0.0000015265,-0.0000027998,-0.0006077502,-0.0000630333,0.0084120447,-0.0000001406,-0.0000015265,-0.0000027998,-0.0000001406,-0.0000015265,-0.0000027998,-0.0000086354,-0.0006536157,-0.0000062767,0.0000084947,0.0006520893,0.0000034769,0.8470681333,-0.0579620136,0.6856634293,0.0611206473,0.7230285839,0.0522598564,0.0088990841,-0.9985938683,0.0071390145
1777409351.9959387779,0.0337114073,0.0310545880,0.0990154892,3.1195023271,0.1135538619,0.0015165561,nan,3.7900292873,3.7936205864,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0714735091,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,0.0000433922,inf,0.0400514603,inf,0.0600900650,0.0700280666,0.0700151920,0.0600817204,0.0200576782,0.0700104237,0.0000150204,0.0498995781,0.0100398064,0.0300407410,0.0100288391,inf,131031,-0.0001930164,-0.0000346364,0.0108707821,-0.0000001875,-0.0000020897,-0.0000038348,-0.0004715858,-0.0000846251,0.0146028526,-0.0000001749,-0.0000019095,-0.0000035027,-0.0005245890,-0.0000833483,0.0145063377,-0.0000001749,-0.0000019095,-0.0000035027,-0.0009746134,-0.0000726993,0.0136868796,-0.0000001749,-0.0000019095,-0.0000035027,-0.0000001749,-0.0000019095,-0.0000035027,-0.0000134275,-0.0011516197,-0.0000078049,0.0000132525,0.0011497102,0.0000043022,0.8550202247,-0.0572165840,0.6876968605,0.0600080286,0.7212477571,0.0469441292,0.0078659817,-0.9988665452,0.0124760605
1777409352.0058772564,0.0337114073,0.0310545880,0.0990154892,3.1195023271,0.1135538619,0.0015165561,nan,3.7900292873,3.7934627533,nan,nan,nan,nan,-0.0084853899,-0.0015226861,0.0008424720,-0.1626154333,-0.0235038847,-1.9867351055,0.0229846817,0.1715324819,0.2453966737,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0714735091,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1162.7042236328,28.9177494049,-0.5443727970,0.0099818707,inf,0.0000252724,inf,0.0700285435,0.0799665451,0.0799536705,0.0700201988,0.0299961567,0.0799489021,0.0099534988,0.0000162125,0.0199782848,0.0000100136,0.0199673176,inf,131031,-0.0001922451,-0.0000344980,0.0126540978,-0.0000001534,-0.0000020811,-0.0000038211,-0.0005203482,-0.0000933754,0.0190851526,-0.0000001630,-0.0000021474,-0.0000039411,-0.0006027327,-0.0000916053,0.0189340625,-0.0000001630,-0.0000021474,-0.0000039411,-0.0012940927,-0.0000770488,0.0176663258,-0.0000001630,-0.0000021474,-0.0000039411,-0.0000001630,-0.0000021474,-0.0000039411,-0.0000168007,-0.0015514372,-0.0000087242,0.0000166377,0.0015492898,0.0000047831,0.8622823022,0.0018151293,0.6643334509,-0.0020421740,0.7474313352,0.1173137910,-0.0006410675,-0.9930946901,0.0166151989
