t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask,offline_mob1_fx,offline_mob1_fy,offline_mob1_fz,offline_mob1_tx,offline_mob1_ty,offline_mob1_tz,offline_mob2_fx,offline_mob2_fy,offline_mob2_fz,offline_mob2_tx,offline_mob2_ty,offline_mob2_tz,offline_mobc_fx,offline_mobc_fy,offline_mobc_fz,offline_mobc_tx,offline_mobc_ty,offline_mobc_tz,offline_tauhat_x,offline_tauhat_y,offline_tauhat_z,offline_rxf_x,offline_rxf_y,offline_rxf_z,offline_etau_x,offline_etau_y,offline_etau_z,offline_rho_tau,offline_normal_qx,offline_normal_qy,offline_normal_qz,offline_normal_qw,offline_normal_nx,offline_normal_ny,offline_normal_nz,offline_contact_force_x
1777388455.7781484127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.7883219719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,inf,inf,inf,inf,inf,0.0000476837,inf,0.0000314713,inf,0.0000238419,inf,inf,0.0000159740,inf,0.0000085831,inf,84611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.7982151508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,inf,inf,inf,inf,0.0000169277,0.0099408627,inf,0.0099246502,inf,0.0099170208,0.0000073910,inf,0.0099091530,inf,0.0099017620,inf,88771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.8082139492,0.0381861590,0.0315637030,0.0991640165,3.0685539796,0.3620194134,0.0007039606,nan,nan,nan,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,0.0000216961,inf,inf,inf,0.0100157261,0.0199396610,inf,0.0199234486,inf,0.0199158192,0.0100061893,0.0000071526,0.0199079514,inf,0.0199005604,inf,96967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.8182141781,0.0381861590,0.0315637030,0.0991640165,3.0685539796,0.3620194134,0.0007039606,nan,3.7372434139,3.7373781204,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,0.0100219250,inf,0.0000164509,inf,0.0200159550,0.0299398899,inf,0.0299236774,inf,0.0299160480,0.0200064182,0.0100073814,0.0299081802,0.0000069141,0.0299007893,inf,129751,-0.0002332090,-0.0000692346,0.0019176584,0.0000000000,0.0000000000,0.0000000000,-0.0001611995,-0.0000478566,0.0007114042,0.0000000000,0.0000000000,0.0000000000,-0.0001621022,-0.0000470580,0.0007103874,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000031059,-0.0000128622,-0.0000028843,0.0000031059,0.0000128622,0.0000028843,0.4253634943,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.8282225132,0.0381861590,0.0315637030,0.0991640165,3.0685539796,0.3620194134,0.0007039606,nan,3.7372434139,3.7373781204,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,0.0200302601,inf,0.0100247860,inf,0.0300242901,0.0399482250,inf,0.0399320126,inf,0.0399243832,0.0300147533,0.0200157166,0.0399165154,0.0100152493,0.0399091244,inf,129751,-0.0002322771,-0.0000689579,0.0037367509,0.0000000000,0.0000000000,0.0000000000,-0.0002569011,-0.0000762683,0.0021988526,0.0000000000,0.0000000000,0.0000000000,-0.0002696822,-0.0000733534,0.0021847849,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000082944,-0.0000919166,-0.0000054362,0.0000082944,0.0000919166,0.0000054362,0.6210042526,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.8381962776,0.0381861590,0.0315637030,0.0991640165,3.0685539796,0.3620194134,0.0007039606,nan,3.7372434139,3.7373781204,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0172060467,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,0.0300040245,inf,0.0199985504,inf,0.0399980545,0.0499219894,inf,0.0499057770,0.0000245571,0.0498981476,0.0399885178,0.0299894810,0.0000152588,0.0199890137,0.0000071526,inf,130775,-0.0002308862,-0.0000685450,0.0064517691,0.0000000000,0.0000000000,0.0000000000,-0.0003843511,-0.0001141054,0.0057717543,0.0000000000,0.0000000000,0.0000000000,-0.0004581828,-0.0001049730,0.0056907938,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000194340,-0.0003179715,-0.0000086976,0.0000194340,0.0003179715,0.0000086976,0.6739875959,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.8482487202,0.0381861590,0.0315637030,0.0991640165,3.0685539796,0.3620194134,0.0007039606,nan,3.7372434139,3.7373781204,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0172060467,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,0.0400564671,inf,0.0300509930,inf,0.0500504971,0.0599744320,inf,0.0599582195,0.0100769997,0.0599505901,0.0000092983,0.0400419235,0.0100677013,0.0300414562,0.0100595951,inf,130775,-0.0002299636,-0.0000682711,0.0082527432,0.0000000000,0.0000000000,0.0000000000,-0.0004594176,-0.0001363910,0.0089529048,0.0000000000,0.0000000000,0.0000000000,-0.0006157703,-0.0001207668,0.0087816019,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000287658,-0.0005302124,-0.0000105293,0.0000287658,0.0005302124,0.0000105293,0.6851879361,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.8582482338,0.0376018547,0.0317228399,0.0991903022,3.0741682717,0.3366427287,-0.0002264727,nan,3.7372434139,3.7373781204,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0172060467,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,0.0000300407,inf,0.0400505066,inf,0.0600500107,0.0699739456,inf,0.0699577332,0.0200765133,0.0699501038,0.0100088120,0.0000097752,0.0200672150,0.0400409698,0.0200591087,inf,130775,-0.0002285866,-0.0000678623,0.0109407196,0.0000000000,0.0000000000,0.0000000000,-0.0005584923,-0.0001658040,0.0147737269,0.0000000000,0.0000000000,0.0000000000,-0.0009199554,-0.0001364876,0.0143779690,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000451099,-0.0009252764,-0.0000128186,0.0000451099,0.0009252764,0.0000128186,0.6919591469,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
1777388455.8682074547,0.0376018547,0.0317228399,0.0991903022,3.0741682717,0.3366427287,-0.0002264727,nan,3.7372434139,3.7373688221,nan,nan,nan,nan,-0.0100491252,-0.0029833638,0.0039170682,-0.3957326114,-0.0806422681,-1.9143226147,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0172060467,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,nan,-1054.7435302734,129.7320251465,0.0000000000,0.0099892616,inf,0.0000181198,inf,0.0700092316,0.0799331665,inf,0.0799169540,0.0300357342,0.0799093246,0.0199680328,0.0099689960,0.0300264359,0.0000081062,0.0300183296,inf,130775,-0.0002272178,-0.0000674559,0.0136126004,0.0000000000,-0.0000000000,0.0000000000,-0.0006427978,-0.0001908325,0.0216903556,0.0000000000,-0.0000000000,0.0000000000,-0.0013239248,-0.0001436778,0.0209266424,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0000545613,-0.0012631743,-0.0000141889,0.0000545613,0.0012631743,0.0000141889,0.7112439300,0.0000000000,0.0000000000,0.0000000000,1.0000000000,nan,nan,nan,0.0000000000
