t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask,offline_mob1_fx,offline_mob1_fy,offline_mob1_fz,offline_mob1_tx,offline_mob1_ty,offline_mob1_tz,offline_mob2_fx,offline_mob2_fy,offline_mob2_fz,offline_mob2_tx,offline_mob2_ty,offline_mob2_tz,offline_mobc_fx,offline_mobc_fy,offline_mobc_fz,offline_mobc_tx,offline_mobc_ty,offline_mobc_tz,offline_mobc2_fx,offline_mobc2_fy,offline_mobc2_fz,offline_mobc2_tx,offline_mobc2_ty,offline_mobc2_tz,offline_tauhat_x,offline_tauhat_y,offline_tauhat_z,offline_rxf_x,offline_rxf_y,offline_rxf_z,offline_etau_x,offline_etau_y,offline_etau_z,offline_rho_tau,offline_normal_pure_nx,offline_normal_pure_ny,offline_normal_pure_nz,offline_normal_k1_nx,offline_normal_k1_ny,offline_normal_k1_nz,offline_normal_k2_nx,offline_normal_k2_ny,offline_normal_k2_nz,offline_normal_k2_nolpf_nx,offline_normal_k2_nolpf_ny,offline_normal_k2_nolpf_nz,offline_normal_k2_novcorr_nx,offline_normal_k2_novcorr_ny,offline_normal_k2_novcorr_nz,offline_contact_force_x
1777407288.4596977234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777407288.4698600769,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001888275,inf,0.0000362396,inf,inf,inf,inf,inf,inf,inf,inf,0.0000162125,inf,inf,inf,inf,8215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777407288.4796476364,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,0.0099763870,inf,0.0098237991,inf,inf,inf,inf,inf,inf,inf,inf,0.0098037720,inf,0.0000212193,inf,inf,40983,0.0000000000,0.0000000000,0.0017483539,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006207343,0.0000000000,0.0000000000,0.0000000000,0.0000001788,0.0000000061,0.0006203254,0.0000000000,0.0000000000,0.0000000000,0.0000017881,0.0000000606,0.0006166447,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000007016,-0.0000207109,0.0000000000,-0.0000007016,0.0000207109,0.0000000000,0.8773780500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777407288.4897222519,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0119983088,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,0.0200510025,inf,0.0198984146,inf,inf,inf,inf,inf,0.0000214577,inf,inf,0.0198783875,inf,0.0100958347,inf,inf,42007,0.0000000000,0.0000000000,0.0034897214,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020086411,0.0000000000,0.0000000000,0.0000000000,0.0000017462,0.0000000591,0.0020046473,0.0000000000,0.0000000000,0.0000000000,0.0000172776,0.0000005853,0.0019691241,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000040797,-0.0001204366,0.0000000000,-0.0000040797,0.0001204366,0.0000000000,0.9090259352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777407288.4997096062,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0300383568,inf,0.0298857689,inf,inf,inf,inf,0.0000398159,0.0100088120,inf,inf,0.0298657417,inf,0.0200831890,0.0000171661,inf,108055,0.0000000000,0.0000000000,0.0060887341,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053806525,0.0000000000,0.0000000000,0.0000000000,0.0000094352,0.0000003196,0.0053590725,0.0000000000,0.0000000000,0.0000000000,0.0000918838,0.0000031125,0.0051704975,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000136266,-0.0004022708,0.0000000000,-0.0000136266,0.0004022708,0.0000000000,0.9135021365,0.0000000000,0.0000000000,-1.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777407288.5096704960,0.0193877574,0.0342338271,0.1004673690,-0.0803134491,-0.0331852499,0.0013334499,nan,3.8322582245,3.8329114914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0399992466,inf,0.0398466587,inf,inf,inf,inf,0.0100007057,0.0199697018,inf,0.0000472069,0.0398266315,0.0000264645,0.0300440788,0.0099780560,inf,128535,0.0000000000,0.0000000000,0.0078127574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0083972684,0.0000000000,0.0000000000,0.0000000000,0.0000197400,0.0000006687,0.0083521194,0.0000000000,0.0000000000,0.0000000000,0.0001902075,0.0000064431,0.0079622294,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000226457,-0.0006685248,0.0000000000,-0.0000226457,0.0006685248,-0.0000000000,0.9140880799,0.0000000000,0.0000000000,-1.0000000000,-0.0023634698,-0.0000800605,-0.9999972038,-0.0177679822,-0.0006018753,-0.9998419558,-0.0208133915,-0.0007050359,-0.9997831293,-0.0208133915,-0.0007050359,-0.9997831293,0.0083521428
1777407288.5197148323,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000782013,inf,0.0000329018,inf,inf,inf,inf,0.0200450420,0.0300140381,inf,0.0100915432,0.0000145435,0.0100708008,0.0400884151,0.0200223923,inf,128535,0.0000000000,0.0000000000,0.0103858837,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0139313088,0.0000000000,0.0000000000,0.0000000000,0.0000453809,0.0000015372,0.0138275143,0.0000000000,0.0000000000,0.0000000000,0.0004303648,0.0000145782,0.0129469862,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000396355,-0.0011700807,0.0000000000,-0.0000396355,0.0011700807,-0.0000000000,0.9142562256,0.0000000000,0.0000000000,-1.0000000000,-0.0024855607,-0.0000841962,-0.9999969074,-0.0196091436,-0.0006642430,-0.9998075016,-0.0220454049,-0.0007467693,-0.9997566916,-0.0226682057,-0.0007678662,-0.9997427483,0.0118803326
1777407288.5296380520,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0100014210,inf,0.0099561214,inf,inf,inf,inf,0.0299682617,0.0399372578,inf,0.0200147629,0.0099377632,0.0199940205,0.0000324249,0.0299456120,0.0000145435,259607,0.0000000000,0.0000000000,0.0129436022,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0205196352,0.0000000000,0.0000000000,0.0000000000,0.0000858889,0.0000029455,0.0203238447,0.0000000000,0.0000000000,0.0000000000,0.0008015876,0.0000275073,0.0186922432,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000543046,-0.0015625309,-0.0000000039,-0.0000543046,0.0015625309,0.0000000039,0.9131333696,0.0000000000,0.0000000000,-1.0000000000,-0.0027704222,-0.0000940948,-0.9999961579,-0.0223320805,-0.0007564802,-0.9997503218,-0.0249190973,-0.0008455284,-0.9996891135,-0.0254173105,-0.0008624049,-0.9996765560,0.0180556700
1777407288.5395996571,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1687999368,-0.0295184106,0.0800828487,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,0.0199630260,inf,0.0199177265,inf,inf,inf,0.0000157356,0.0399298668,0.0498988628,inf,0.0299763680,0.0198993683,0.0299556255,0.0099940300,0.0399072170,0.0099761486,259863,0.0000000000,0.0000000000,0.0146402334,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0254179473,0.0000000000,0.0000000000,0.0000000000,0.0001222467,0.0000042095,0.0251395864,0.0000000000,0.0000000000,0.0000000000,0.0011288546,0.0000388991,0.0228473167,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000775101,-0.0022302542,-0.0000000039,-0.0000775101,0.0022302542,0.0000000039,0.9129072451,0.0000000000,0.0000000000,-1.0000000000,-0.0031250528,-0.0001065112,-0.9999951113,-0.0264353584,-0.0008992621,-0.9996501204,-0.0285048145,-0.0009704953,-0.9995931841,-0.0295522925,-0.0010070067,-0.9995627284,0.0226872936
1777407288.5495667458,0.0195964463,0.0338638201,0.1006600559,-0.0885835809,-0.0360672505,-0.0011720071,nan,3.8322582245,3.8328704834,nan,nan,nan,nan,nan,nan,nan,-0.0371120423,0.0846412629,-0.0046190023,0.1687999368,-0.0295184106,0.0800828487,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119983088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,34.5796623230,-17.0276126862,0.0000000000,0.0299301147,inf,0.0298848152,inf,inf,0.0000302792,0.0099828243,0.0498969555,0.0598659515,0.0000183582,0.0399434566,0.0298664570,0.0399227142,0.0199611187,0.0000092983,0.0199432373,262039,0.0000000000,0.0000000000,0.0171724768,0.0000019643,-0.0000002393,0.0000013879,0.0000000000,0.0000000000,0.0334164051,0.0000004613,-0.0000000562,0.0000003260,0.0001922339,0.0000066474,0.0329790996,0.0000004613,-0.0000000562,0.0000003260,0.0017471301,0.0000604611,0.0294416405,0.0000004613,-0.0000000562,0.0000003260,0.0000004613,-0.0000000562,0.0000003260,0.0001034433,-0.0029764685,-0.0000000035,-0.0001029819,0.0029764123,0.0000003295,0.9125866119,0.0000000000,0.0000000000,-1.0000000000,-0.0036011063,-0.0001232366,-0.9999935084,-0.0366653174,-0.0012577187,-0.9993268097,-0.0333308800,-0.0011397279,-0.9994437220,-0.0341687660,-0.0011689337,-0.9994153936,0.0302911606
