t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask,offline_mob1_fx,offline_mob1_fy,offline_mob1_fz,offline_mob1_tx,offline_mob1_ty,offline_mob1_tz,offline_mob2_fx,offline_mob2_fy,offline_mob2_fz,offline_mob2_tx,offline_mob2_ty,offline_mob2_tz,offline_mobc_fx,offline_mobc_fy,offline_mobc_fz,offline_mobc_tx,offline_mobc_ty,offline_mobc_tz,offline_mobc2_fx,offline_mobc2_fy,offline_mobc2_fz,offline_mobc2_tx,offline_mobc2_ty,offline_mobc2_tz,offline_tauhat_x,offline_tauhat_y,offline_tauhat_z,offline_rxf_x,offline_rxf_y,offline_rxf_z,offline_etau_x,offline_etau_y,offline_etau_z,offline_rho_tau,offline_normal_pure_nx,offline_normal_pure_ny,offline_normal_pure_nz,offline_normal_k1_nx,offline_normal_k1_ny,offline_normal_k1_nz,offline_normal_k1_novcorr_nx,offline_normal_k1_novcorr_ny,offline_normal_k1_novcorr_nz,offline_normal_k2_nx,offline_normal_k2_ny,offline_normal_k2_nz,offline_normal_k2_nolpf_nx,offline_normal_k2_nolpf_ny,offline_normal_k2_nolpf_nz,offline_normal_k2_novcorr_nx,offline_normal_k2_novcorr_ny,offline_normal_k2_novcorr_nz,offline_contact_force_x
1777407508.3572463989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777407508.3673045635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0000097752,inf,inf,32771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777407508.3772766590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.1072833836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,0.0000102520,inf,inf,inf,inf,0.0099818707,inf,inf,33795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777407508.3872673512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.1072833836,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,0.0100009441,inf,inf,inf,0.0000140667,0.0199725628,0.0000076294,inf,115715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777407508.3973028660,0.0197825823,0.0353548788,0.0992825627,-0.0387749356,0.0165486825,-0.0030890416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.1072833836,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0000278950,inf,inf,inf,inf,inf,inf,inf,0.0200364590,inf,0.0000128746,0.0000081062,0.0100495815,0.0300080776,0.0100431442,inf,128007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1777407508.4072468281,0.0197825823,0.0353548788,0.0992825627,-0.0387749356,0.0165486825,-0.0030890416,nan,3.7583577633,3.7584035397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.1072833836,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0099718571,inf,0.0000116825,inf,inf,inf,inf,inf,0.0299804211,inf,0.0099568367,0.0099520683,0.0199935436,0.0000064373,0.0199871063,inf,128023,0.0000000000,0.0000000000,0.0008750520,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002100125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002100125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002100125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777407508.4172432423,0.0197825823,0.0353548788,0.0992825627,-0.0387749356,0.0165486825,-0.0030890416,nan,3.7583577633,3.7584035397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0046389611,-0.1400547028,0.2089822441,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.1072833836,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,0.0199682713,inf,0.0100080967,inf,inf,inf,0.0000092983,inf,0.0399768353,inf,0.0199532509,0.0199484825,0.0299899578,0.0100028515,0.0299835205,inf,128279,0.0000000000,0.0000000000,0.0034897214,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020086411,0.0000000000,0.0000000000,0.0000000000,0.0000015816,0.0000000195,0.0020044849,0.0000000000,0.0000000000,0.0000000000,0.0000156497,0.0000001928,0.0019675179,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000015140,-0.0001229211,-0.0000000000,-0.0000015140,0.0001229211,0.0000000000,0.9273659430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777407508.4272596836,0.0197825823,0.0353548788,0.0992825627,-0.0387749356,0.0165486825,-0.0030890416,nan,3.7583577633,3.7584035397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0046389611,-0.1400547028,0.2089822441,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.1072833836,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,14.7372407913,7.7912759781,0.0000000000,0.0299847126,inf,0.0200245380,inf,inf,inf,0.0100257397,inf,0.0499932766,0.0000133514,0.0299696922,0.0299649239,0.0400063992,0.0200192928,0.0000073910,inf,130327,0.0000000000,0.0000000000,0.0060887341,0.0000001063,-0.0000015391,0.0000034273,0.0000000000,0.0000000000,0.0053806525,0.0000000251,-0.0000003615,0.0000008050,0.0000085402,0.0000001375,0.0053582100,0.0000000251,-0.0000003615,0.0000008050,0.0000831678,0.0000013429,0.0051620999,0.0000000251,-0.0000003615,0.0000008050,0.0000000251,-0.0000003615,0.0000008050,0.0000050562,-0.0004105700,0.0000000016,-0.0000050311,0.0004102085,0.0000008033,0.9311901149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000
1777407508.4372708797,0.0197825823,0.0353548788,0.0992825627,-0.0387749356,0.0165486825,-0.0030890416,nan,3.7583577633,3.7584035397,nan,nan,nan,nan,0.0071287993,0.0025847030,0.0021436564,0.0195177756,0.0258795377,-0.0033366680,0.0046389611,-0.1400547028,0.2089822441,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.1072833836,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,14.7372407913,7.7912759781,0.0000000000,0.0399959087,inf,0.0300357342,inf,0.0000176430,0.0000114441,0.0200369358,inf,0.0600044727,0.0100245476,0.0399808884,0.0399761200,0.0000076294,0.0300304890,0.0100185871,inf,130519,0.0000000000,0.0000000000,0.0078127574,0.0000001049,-0.0000015330,0.0000034137,0.0000000000,0.0000000000,0.0083972684,0.0000000406,-0.0000005872,0.0000013077,0.0000178655,0.0000002993,0.0083503202,0.0000000406,-0.0000005872,0.0000013077,0.0001721441,0.0000028906,0.0079448960,0.0000000406,-0.0000005872,0.0000013077,0.0000000406,-0.0000005872,0.0000013077,0.0000084018,-0.0006823183,0.0000000054,-0.0000083613,0.0006817311,0.0000013023,0.9318581491,0.0000000000,0.0000000000,-1.0000000000,-0.0018657779,-0.0000308424,-0.9999982590,-0.0015938583,-0.0000256610,-0.9999987295,-0.0161091496,-0.0002601171,-0.9998702054,-0.0161091496,-0.0002601171,-0.9998702054,-0.0188741346,-0.0003128535,-0.9998218187,0.0067838114
1777407508.4472744465,0.0201281067,0.0354839414,0.0994075537,-0.0387749356,0.0165486825,-0.0030890416,nan,3.7583577633,3.7584035397,nan,nan,nan,nan,0.0071287993,0.0025847030,0.0021436564,0.0195177756,0.0258795377,-0.0033366680,0.0046389611,-0.1400547028,0.2089822441,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1072833836,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,14.7372407913,7.7912759781,0.0000000000,0.0000300407,inf,0.0400393009,inf,0.0100212097,0.0100150108,0.0300405025,0.0000164509,0.0700080395,0.0200281143,0.0000114441,0.0000076294,0.0100111961,0.0400340557,0.0200221539,inf,131031,0.0001583370,0.0000574086,0.0104334962,0.0000001028,-0.0000015239,0.0000033932,0.0001094462,0.0000396821,0.0139642197,0.0000000620,-0.0000009042,0.0000020134,0.0001505114,0.0000402810,0.0138563087,0.0000000620,-0.0000009042,0.0000020134,0.0004988789,0.0000453273,0.0129408700,0.0000000620,-0.0000009042,0.0000020134,0.0000000620,-0.0000009042,0.0000020134,0.0000136959,-0.0011936261,0.0000026420,-0.0000136339,0.0011927219,-0.0000006286,0.9299345602,-0.0007535891,-0.0002732302,-0.9999996787,-0.0032840649,-0.0004878977,-0.9999944884,-0.0025158853,-0.0003036137,-0.9999967891,-0.0185774012,-0.0005812607,-0.9998272562,-0.0185774012,-0.0005812607,-0.9998272562,-0.0207893155,-0.0006234474,-0.9997836844,0.0118998047
